,HCR,LOP,DEX,CGR,GPR,FOS,DET,BCL
1015,6.515115243637647,0.4753984905908823,0.19199849903702262,1.0236426772974554,0.0016476680768443153,0.00517686086687965,5.754690516267956,2.219702004525041
1016,3.254932721951511,15.287647126517763,6.143951969184724,0.5116977853046719,6.734588479833207,5.423396655031043,23.158623563154904,8.878808018100164
1017,6.516734739230089,7.599419153468528,3.071975984592362,4.094986562176085,3.364640814205433,2.6888855000474483,2.871276020553689,1.1098510022625205
1018,1.6255910413365404,7.581318009228621,3.071975984592362,8.2157769494259,1.681698402897992,1.3393698106415717,23.071980467977006,8.878808018100164
1019,6.518715833883771,1.8903367894050953,0.7679939961480905,8.974817033704158,0.8408055946484708,0.6688801024494142,11.525654512368826,4.439404009050082
1020,1.6266176634163996,0.9498528538950214,0.38399699807404525,4.46672032266723,0.4204727757074585,0.33444276057549716,5.733278834785154,2.219702004525041
1021,6.51242941080028,0.4758706645532316,0.19199849903702262,2.2276243326522107,0.21030374836558804,0.16731937834002103,23.075394934269312,8.878808018100164
1022,6.517022646186071,0.23824387165696015,0.09599924951851131,1.1155644511058262,0.1051895424525248,0.08373748336010779,23.084978797850358,8.878808018100164
1023,3.2536188775773587,15.312461733514526,6.143951969184724,0.558921269976859,0.05261498244015784,0.04191020324635111,11.503183728857275,4.439404009050082
1024,1.6271072421739075,7.603348793953711,3.071975984592362,8.216250800865689,0.026317485006088506,0.020978597587351218,5.743594253419102,2.219702004525041
1025,3.252616873274614,3.802995035883559,1.535987992296181,4.094073123078879,0.013164053508836234,0.01050183461934817,2.874442474941553,1.1098510022625205
1026,3.2517202794872087,1.8988026512785807,0.7679939961480905,4.467977757282553,0.006584551743942083,7.3843927079617195,1.4350354568382064,0.5549255011312603
1027,6.517243919368403,15.261329522912304,6.143951969184724,2.230877569255042,0.0032935627497269688,2.6425711254502247,0.7191209091295347,0.27746275056563013
1028,3.2550199873017407,15.324716670704852,6.143951969184724,4.468795957660776,0.0016475164264953604,1.3100338665615479,0.35972875246741537,0.13873137528281507
1029,3.253262479983626,3.7960138322685117,1.535987992296181,8.974047742228327,13.503716884277193,0.6530876213037005,11.50917242024191,4.439404009050082
1030,3.252782809705125,3.8046191666585703,1.535987992296181,4.46791490798321,6.7381167825339165,0.3337292428149159,5.7570626688459825,2.219702004525041
