,SHA_otf,ORO_otf,YRS_otf,FOL_otf,NML_otf,DNP_otf,EXC_otf,MIL_otf,ISB_otf,SUC_otf,KWH_otf,PFT_otf
40,12198.206244712534,16355.14371317617,1577.0248910206647,6891.884113110729,3507.9380977973224,2390.1977643306236,3343.1786524627587,545.0656359699645,15.010273759846665,0.0,255.11317304248954,2449.0024363811917
41,19466.121351003447,13220.529865301572,1529.2833340365569,7223.499365709436,3245.8599221090344,2502.3913422850787,3068.057939454399,590.9891929792431,15.010273759846665,0.0,278.34133288459094,2078.5668208265274
42,30818.270929148097,10727.784283114366,1491.090088449268,6731.817988154775,3242.254320701752,2620.9623194099827,2821.7522151085805,677.2222094140976,15.010273759846665,0.0,316.5879824987443,1771.9752900784615
43,48340.31152542349,8694.004466963866,15477.593616236558,5889.813796233511,3232.657378679614,2645.5377521146215,3083.9254711398435,741.1186995962179,15.010273759846665,0.0,327.20714434533437,1470.6655251868222
44,49239.73085474473,7076.532873676172,12557.280525843615,5238.094114273165,2927.7583007217704,2781.2228851489554,3081.202636585967,790.0427427707936,15.010273759846665,0.0,288.4812961066368,1167.4593492819893
45,46167.91514694483,5895.992952989421,4663.684819872038,4721.245978804968,2702.727591110318,3300.1451302746937,2897.512036875065,363.1284086890483,15.010273759846665,0.0,315.85155828116683,866.4734057440043
46,41228.70722593634,4981.581244853465,700.4794421261778,4180.353174011546,2739.687224488761,3616.3219886851853,2677.926742200574,350.2397210630889,15.010273759846665,0.0,338.91154420592113,605.0177777066516
47,36199.22411424884,4107.74268335481,700.4794421261778,3647.5311311940936,2753.3323495304367,3834.806449782548,2441.8938061650115,432.8591865655226,15.010273759846665,0.0,319.7123674100606,328.37256398598885
48,30463.92305193298,3443.912859771933,1458.3311919730374,3151.156577593036,2710.6977821665605,4450.20053523821,2405.659238149821,601.8793945142007,15.010273759846665,0.0,355.1896549405118,135.09246383861998
49,26091.34850914357,2991.816220965394,2530.2048074253303,2814.290546869594,2669.7286476056543,5340.420193606729,2335.0504759858204,537.3443974244573,15.010273759846665,0.0,361.2753391140246,135.09246383861998
50,22633.053165672438,2499.795281258417,3387.703699787171,2432.146130208097,2716.878455745866,5476.921909526772,2631.1323508932105,522.2696752286702,15.010273759846665,0.0,407.9471296378626,135.09246383861998
51,24886.623802253936,2116.816730725198,3737.437297274153,2195.6710298049143,2687.1614858111334,5484.551692737151,2918.3250027979866,595.8288647493036,15.010273759846665,0.0,388.8202040465793,135.09246383861998
52,28010.302741806,1842.609738075504,4017.2241752637406,2056.4064143754513,2560.203336549878,5445.867081716678,2993.1941773730155,692.3804894328761,15.010273759846665,0.0,341.70724510894235,135.09246383861998
53,27051.652457522876,1967.6963425857782,4241.053677655417,1943.218694573462,2414.6155619602546,5305.869150930409,2877.9900630567304,841.0483327955864,15.010273759846665,0.0,374.1617553323685,135.09246383861998
54,24934.442621085855,3457.659875655964,4420.117279568754,2288.573491954866,2391.6514836119522,5063.216511643968,2699.3923277618956,1078.409827435033,15.010273759846665,0.0,294.8433482159936,135.09246383861998
55,30075.833202922957,3693.069996819194,4563.3681610994245,3463.7216882454923,2330.3516919451167,4979.90587534514,2476.2137529891293,940.4128169776,15.010273759846665,0.0,325.01441661660874,135.09246383861998
56,41902.164271049856,6341.528949740125,4677.968866323965,4004.469927457611,2193.425451992156,4895.352090381242,2234.517985009078,1261.4145645878525,15.010273759846665,0.0,343.9881677947977,135.09246383861998
57,53376.563483094345,15240.050820868393,5466.345178191065,3903.635610837597,2040.3315160744885,5038.691165630716,2018.437476518242,1175.693767550798,15.010273759846665,0.0,225.4621364649122,135.09246383861998
