,Source,Sink,Time,Value
213,SDGE,PGE_valley,22,0.0
214,SDGE,PGE_valley,23,0.0
215,SDGE,PGE_valley,24,0.0
216,SDGE,PGE_bay,1,0.0
217,SDGE,PGE_bay,2,0.0
218,SDGE,PGE_bay,3,0.0
219,SDGE,PGE_bay,4,0.0
220,SDGE,PGE_bay,5,0.0
221,SDGE,PGE_bay,6,0.0
222,SDGE,PGE_bay,7,0.0
223,SDGE,PGE_bay,8,0.0
224,SDGE,PGE_bay,9,0.0
225,SDGE,PGE_bay,10,0.0
226,SDGE,PGE_bay,11,0.0
227,SDGE,PGE_bay,12,0.0
228,SDGE,PGE_bay,13,0.0
229,SDGE,PGE_bay,14,0.0
230,SDGE,PGE_bay,15,0.0
231,SDGE,PGE_bay,16,0.0
232,SDGE,PGE_bay,17,0.0
233,SDGE,PGE_bay,18,0.0
234,SDGE,PGE_bay,19,0.0
235,SDGE,PGE_bay,20,0.0
236,SDGE,PGE_bay,21,0.0
237,SDGE,PGE_bay,22,0.0
238,SDGE,PGE_bay,23,0.0
239,SDGE,PGE_bay,24,0.0
240,SDGE,SDGE,1,0.0
241,SDGE,SDGE,2,0.0
242,SDGE,SDGE,3,0.0
243,SDGE,SDGE,4,0.0
244,SDGE,SDGE,5,0.0
245,SDGE,SDGE,6,0.0
246,SDGE,SDGE,7,0.0
247,SDGE,SDGE,8,0.0
248,SDGE,SDGE,9,0.0
249,SDGE,SDGE,10,0.0
250,SDGE,SDGE,11,0.0
251,SDGE,SDGE,12,0.0
252,SDGE,SDGE,13,0.0
253,SDGE,SDGE,14,0.0
254,SDGE,SDGE,15,0.0
255,SDGE,SDGE,16,0.0
256,SDGE,SDGE,17,0.0
257,SDGE,SDGE,18,0.0
258,SDGE,SDGE,19,0.0
259,SDGE,SDGE,20,0.0
260,SDGE,SDGE,21,0.0
261,SDGE,SDGE,22,0.0
262,SDGE,SDGE,23,0.0
263,SDGE,SDGE,24,0.0
264,SDGE,SCE,1,0.0
265,SDGE,SCE,2,0.0
266,SDGE,SCE,3,0.0
267,SDGE,SCE,4,0.0
268,SDGE,SCE,5,0.0
269,SDGE,SCE,6,0.0
270,SDGE,SCE,7,0.0
271,SDGE,SCE,8,0.0
272,SDGE,SCE,9,0.0
273,SDGE,SCE,10,0.0
274,SDGE,SCE,11,0.0
275,SDGE,SCE,12,0.0
276,SDGE,SCE,13,0.0
277,SDGE,SCE,14,0.0
278,SDGE,SCE,15,0.0
279,SDGE,SCE,16,0.0
280,SDGE,SCE,17,0.0
281,SDGE,SCE,18,0.0
282,SDGE,SCE,19,0.0
283,SDGE,SCE,20,0.0
284,SDGE,SCE,21,0.0
285,SDGE,SCE,22,0.0
286,SDGE,SCE,23,0.0
287,SDGE,SCE,24,0.0
288,SCE,PGE_valley,1,0.0
289,SCE,PGE_valley,2,0.0
290,SCE,PGE_valley,3,0.0
291,SCE,PGE_valley,4,0.0
292,SCE,PGE_valley,5,0.0
293,SCE,PGE_valley,6,0.0
294,SCE,PGE_valley,7,0.0
295,SCE,PGE_valley,8,0.0
296,SCE,PGE_valley,9,0.0
